bethesda|boys,1
bethesda|varsity,1
bethesda|tennis,1
boys|chevy,2
chevy|varsity,1
chevy|tennis,1
boys|chase,2
chase|varsity,1
chase|tennis,1
game|tennis,1
boys|pacific,3
pacific|tennis,1
boys|league,4
boys|crescenta,2
crescenta|tennis,1
boys|valley,19
boys|burbank,2
burbank|tennis,1
congrats|team,1
girls|team,2
team|tennis,1
districts|girls,1
districts|tennis,1
districts|team,1
girls|maryjo,2
maryjo|tennis,1
maryjo|team,1
ellis|girls,1
ellis|tennis,1
ellis|team,1
girls|kylie,2
kylie|tennis,1
kylie|team,1
brunswick|girls,1
brunswick|tennis,1
brunswick|team,1
advanced|girls,1
advanced|tennis,1
advanced|team,1
finals|girls,1
finals|tennis,1
finals|team,1
girls|tomorrow,14
tennis|tomorrow,103
team|tomorrow,14
doubles|team,1
girls|idabakerhs,2
idabakerhs|tennis,1
idabakerhs|team,1
mocs|time,1
earn|time,1
socon|time,1
honors|time,1
nstory|time,1
since|time,1
legendary|time,1
time|tommy,2
bartlett|time,1
ngerdes|time,1
repeated|time,1
sportsmanship|time,1
award|time,1
time|winner,3
honor|time,1
gomocs|time,1
andriaclew|play,1
andriaclew|tennis,1
play|yesssss,2
tennis|yesssss,2
play|thought,4
tennis|thought,30
could|play,1
could|tennis,1
join|tennis,1
historic|tennis,1
groundbreaking|tennis,1
golden|tennis,1
gate|tennis,1
park|tennis,1
center|tennis,1
facility|tennis,1
poised|tennis,1
tennis|undergo,8
million|tennis,1
renovation|tennis,1
tennis|year,126
site|tennis,1
best|tennis,1
public|tennis,1
facilities|tennis,1
nation|tennis,1
boys|storm,7
storm|tennis,1
first|storm,2
match|storm,2
boys|first,1
boys|match,2
boys|keeps,3
keeps|tennis,1
first|keeps,2
keeps|match,1
boys|momentum,2
momentum|tennis,1
first|momentum,2
match|momentum,4
boys|going,10
going|tennis,1
first|going,6
going|match,1
boys|solid,3
solid|tennis,1
first|solid,7
match|solid,6
boys|fairmont,5
fairmont|tennis,1
fairmont|first,1
fairmont|match,1
first|match,2
boys|home,117
home|tennis,1
first|home,14
home|match,1
boys|year,10
first|year,15
match|year,8
boys|tomorrow,31
first|tomorrow,23
match|tomorrow,17
boys|prior,6
prior|tennis,1
first|prior,4
match|prior,7
boys|lake,14
lake|tennis,1
first|lake,2
lake|match,1
south|tennis,1
elgin|tennis,1
streak|tennis,1
continues|tennis,1
letsgo|tennis,1
shiber|tennis,1
gigglesandkush|tennis,1
guapo|tennis,1
boys|congratulations,45
congratulations|tennis,1
congratulations|team,1
boys|brady,4
brady|tennis,1
brady|team,1
boys|rest,4
rest|tennis,1
rest|team,1
boys|ljshawks,4
ljshawks|tennis,1
ljshawks|team,1
boys|team,2
boys|today,188
tennis|today,712
team|today,93
boys|keep,13
keep|tennis,1
keep|team,1
rolls|tennis,1
shik|tennis,1
jevanbayarea|tennis,1
jevanbayarea|time,1
realjohnelaw|tennis,1
realjohnelaw|time,1
showing|tennis,1
showing|time,1
fights|tennis,1
fights|time,1
even|tennis,1
even|time,1
blip|tennis,1
blip|time,1
radar|tennis,1
radar|time,1
getting|tennis,1
getting|time,1
boxing|tennis,1
boxing|time,1
back|tennis,1
back|time,1
peak|tennis,1
peak|time,1
honestly|tennis,1
honestly|time,1
